Name;ID;Content;Comments;Retweet;Likes
mauro cortes;mj_cortes;"JUSTICIA SOCIAL
@meganoticiascl 
@PiensaPrensa @PublimetroChile @pulso_tw @radio_festival @RadioPortales @RadioValparaiso @RedMiVoz @EnaVonBaerJahn @felipeharboe @felipekast @chahuan @guidogirardi @iallendebussi @ivanmoreirab #paronacional #ParoNacional21Nov #habraconsecuenciaspic.twitter.com/JTdBcQxmyZ";;9;15
Carlos;Carlos78587267;FANTASTICO;;3;3
victor d.;picolo92;dios nos salve!;;;
deiner david :v :v;davidDmagarXD1;VAMOS Calentando motores para el Paro Nacional!  ;;;
Yazz  ??;yazzdonut;estoy muy emocionado!!!;;;7
David Racero  ????;DavidRacero;"Se reafirma señorita Colombia: ""no es momento de ser neutrales"". 

A propósito: Cuál es la diferencia entre ""neutro"" y ""tibio""? https://colombianoindignado.com/no-es-momento-para-ser-neutras-senorita-colombia-sostiene-su-opinion-sobre-el-paro-nacional/ …";124;1.1K;3.3K
Valeeee;MaflaValentina;Vamos Calentando motores para el Paro Nacional!  pic.twitter.com/2QRa6hQtyY;;;
hejuraol;hejuraol;Deje de ser tan hp #Paro21Noviembre #ParoNacional21N #ParoNacional pic.twitter.com/UlDtM8DBaJ;9;87;236
mujerdulce35@gmail.com;mujerdulce35gm1;Viva el paro nacional  pic.twitter.com/J1glanQhEk;;1;1
 ?????? La Mamerta  ??????;LaMamert4;"Ayer mi mamá: no vas a ir al paro nacional, es muy peligros y eres madre, piensa en tu hijo.

Yo: Por esa razón voy a ir, por Liam.";50;402;2.4K
KikaBernal ??;ErikillaBernal;Yo nunca había visto esto, Sigamos asi!!;;;4
Paz y Convivencia;tegidopaz;Paro nacional del 21 de noviembre contra el paquetazo de Duque. ;2;8;19
Rodrigo Lara;Rodrigo_Lara_;EnriquePenalosa se tenía que despedir de Bogotá con un aumento del pasaje de TransMilenio , una semana antes de un masivo paro nacional! Un genio incomprendido... Alguien recuerda cuantos aumentos ha habido en esta alcaldía tan popular? ;354;324;502
Alvaro Forero Tascón;alvaroforero;"Los populistas de derecha confunden el paro nacional con su Estado de opinión, sus marchas para tumbar gobiernos, sus Fake News contra reformas, su sacar a la gente “emberracada”, sus ataques a las instituciones para provecho electoral.

El populismo termina devolviéndose.";24;574;1.5K
Sergio Fernández ??;SergioFerG;Miren a este anarquista internacional, agente del castrochavismo y financiado por el foro de Sao Paulo apoyando el paro nacional, alias Monseñor Oscar Urbina, Presidente de la Conferencia Episcopal. pic.twitter.com/8RDimnXtZJ;14;202;307
El Espectador;elespectador;La señorita Colombia, Aterciopelados y otros artistas que se unen al paro nacional 2019. http://ow.ly/XWmT50xbqnT pic.twitter.com/uX7uF7ufdE;27;89;371
CiudadaníasPazColombia;CPazColombia;desde Ciudadanías los invitamos a todos a marchar este 21 de Noviembre en el Paro Nacional por Colombia. A las 2pm hora Colombia invitamos a todos los ciudadanos colombianos a hacerle arbitraje y sacarle una tarjeta roja a Duque. ;35;442;734
Iván Cepeda Castro;IvanCepedaCast;Iglesia respalda el paro nacional del 21 de noviembre ;28;174;486
Irela Carolina  ??;carolina_irela;"Quiero ver a todas esas ""influencers"" farándulas que llamen a Paro Nacional indefinido en vez de andar haciendo ferias y eventos, además de verlas bacanaleando como si la situación y la economía del país estuvieran normal.";29;209;757
Roberto Mauricio;RobertoMTico;"Ahora si se le complico a Uribe, al gobierno de ""técnicos"", a los camanduleros y a los religiosos naturales como Ordoñez

""Iglesia respalda el paro nacional del 21 de noviembre""

https://noticias.canal1.com.co/nacional/iglesia-respalda-el-paro-nacional-del-21-de-noviembre/ …";4;268;443
María Fernanda Cabal;MariaFdaCabal;Paro nacional: En Córdoba desplazan a indígenas por negarse a participar en paro. ;52;724;597
CEDATOS;cedatos;"CEDATOS: EVALUACIÓN DEL PARO NACIONAL
60,2% de los ECUATORIANOS EVALÚAN NEGATIVAMENTE LA ACTUACIÓN DE VARIOS LÍDERES E INSTITUCIONES SOBRE EL PARO NACIONAL.
70.9% de los ecuatorianos consideran que el paro fue PERJUDICIAL
@elcomerciocom @ecuavisa @Expresoec @eluniversocompic.twitter.com/k2wdZYMkmD";31;246;253
Paro Nacional Yaaaa Art.350;Paro350;"CALLE, CALLE, CALLE Vamos Venezuela, vamos carajo, que no nos sigan pisoteando. Levantemos nuestras banderas de libertad.
#16NHastaQueCaigaLaTiraniapic.twitter.com/v7kvjKV4UF";;8;4
Paro Nacional Yaaaa Art.350;Paro350;"NO HAY MIEDO CARAJO!!! Tiemblen delincuentes de la tiranía. VAMOS POR USTEDES!!
#16NHastaQueCaigaLaTiraniapic.twitter.com/8drB33wZ16";;3;
Ricardo Silva Romero;RSilvaRomero;La señorita Colombia, Aterciopelados y otros artistas que se unen al paro nacional 2019 http://tinyurl.com/yx7amjed  vía @elespectador;6;111;241
WILFREDO CAÑIZARES;wilcan91;Que dirán ahora @IvanDuque @CarlosHolmesTru, con el respaldo que brinda la iglesia católica al Paro Nacional del 21 de noviembre? pic.twitter.com/NV5TtIlHll;4;58;54
Manuel Sarmiento  ????  ??;mjsarmientoa;"¡Faltan 7 días para el Paro Nacional!

Desde muy temprano conversando con los trabajadores de la ETB. Estoy seguro que llenaremos las calles de dignidad el próximo #21N. Hay que luchar contra las imposiciones de la OCDE que incluyen las privatizaciones.

#ParoNacional21Novpic.twitter.com/vIvXpyRoro";8;58;88
Hollman Morris  ?? ?? ???????;HOLLMANMORRIS;"Iglesia católica respalda el paro nacional del 21 de Noviembre. 

https://noticias.canal1.com.co/nacional/iglesia-respalda-el-paro-nacional-del-21-de-noviembre/amp?__twitter_impression=true …pic.twitter.com/8HaE2n4q6Y";7;97;213
@AdelitaSM;adelitaSM;Buenos días mi gente, recuerden que nos quedan 6 días para el Paro Nacional .;2;15;77
Fernando Napoleon Aldana;FernandoNapol19;"REFLEXIÓN:
Los Venezolanos de los colectivos del asesino de Maduro, se tomarón las estaciones de transMilenio, ya están gritando arengas a favor de Chávez y Maduro. 
La policía debe sacar a todos los Venezolanos de las estaciones, ya q piensan quemarlas el día del paro nacional.";6;96;79
RED DE ARLENES SIU ??????;otra_arlensiu;"PARO NACIONAL, entiendan!! PARO NACIONAL! 
 #SOSNicaragua";4;47;110
 ????Arashi Diamond  ?? ?? ?? ?;tevalegaver026;"Buenas noches patriotas Dios nos cuide y bendiga ! 

Muchachos les pido reflexionen en nuestro país la única manera cívica que queda es el Paro Nacional Indefinido !

Sólo asi y con el apoyo del pueblo y empresariado vamos a poder salir del dictador !
#ParoNacional 
#SOSNicaragua";5;27;65
Javier Olivares;JavierOlivares;Migración Colombia y la Policía Nacional ya han identificado a 20 extranjeros provenientes de Chile, Ecuador, y Venezuela que tendrían la intención de infiltrar las marchas en #Bogotá en el marco del paro nacional del próximo 21 de noviembre.;24;76;86
Rebeca González;_ajaytuque;Uy juepucha! Confirmado que la Iglesia Católica se une al paro nacional. #21Novhttps://noticias.canal1.com.co/nacional/iglesia-respalda-el-paro-nacional-del-21-de-noviembre/ …;1;45;76
Manuel Sarmiento  ????  ??;mjsarmientoa;Con el actor @Santialarconu hablando sobre las razones del Paro Nacional;3;44;109
Diógenes Orjuela;diogenesorjuela;"Yo no le voy a decir a Jorge Humberto Botero que por estar en contra del #ParoNacional entonces hace parte de Ku Klux Klan 

La actitud del partido de gobierno fue supremamente antidemocrática y estigmatiza la protesta social. 

@Semanaenvivo #ParoNacional21N #ElParoVapic.twitter.com/YxDupUZwDs";4;40;65
La Banda del EJE;labandadeleje;"Holocausto Norte hinchada del Once Caldas, consciente de nuestro rol social y popular, respaldamos y apoyamos el PARO NACIONAL del 21 de Noviembre. 

Ahora el aguante se mueve de la tribuna a las calles, porque como pueblo, merecemos mucho más!

#AguanteLaBandaDelEje #YoParoEl21Npic.twitter.com/XFIpXrWYPx";7;51;169
Jennifer Pedraza S;JenniferPedraz;"Ahí voy!

Nos vemos en Semana en vivo, y por supuesto, en el paro nacional del #21N!https://twitter.com/Semanaenvivo/status/1195125374948167681 …";;21;66
EL TIEMPO;ELTIEMPO;El senador Gustavo Petro (@petrogustavo) llama a las barras futboleras a unirse al paro nacional ;159;38;131
CUT Colombia;cutcolombia;"Estamos a 8 días del #ParoNacional
Salimos a las calles a enfrentar el #PaquetazoDeDuque
#ElParoVa #LéeloYPásalo21Npic.twitter.com/bj4AB8t9LZ";3;48;102
Paro Nacional Yaaaa Art.350;Paro350;"UNIDOS SOMOS INVENCIBLES!! VAMOS TODOS UNIDOS, a derrocar esta tiranía que nos somete y nos subyuga.
#16NHastaQueCaigaLaTiraniapic.twitter.com/AzzKkraJFO";;7;3
Paro Nacional Yaaaa Art.350;Paro350;No abra ningún Tirano que soporte un Pueblo verdaderamente arrecho #16NHastaQueCaigaLaTiraniapic.twitter.com/2zYjRGxG0O;;5;1
Paro Nacional Yaaaa Art.350;Paro350;Unidos seremos INVENCIBLES #16NHastaQueCaigaLaTiraniapic.twitter.com/jaNN5gHXK4;;2;
Paro Nacional Yaaaa Art.350;Paro350;Volvemos a la calle pero sin MUD!!! #16NHastaQueCaigaLaTiraniapic.twitter.com/JU5chajm44;;3;
#PaolaMiSenadora;PaolaSenadora; QuéTa lEsto? Petro llama a las barras futboleras a unirse al paro nacional. El congresista exhortó a los hinchas colombianos a replicar lo sucedido con la selección de Chile. ;33;38;35
Jennifer Pedraza S;JenniferPedraz;Facultad de ciencias @UNColombia lista para el paro nacional el #21N.;2;22;71
N.;__feminasty;"Quieres tener tu poster feminista para el #Paro21Noviembre #ParoNacional????

Pregúntame cómo";18;5;66
La Hora de La Verdad;Horadelaverdad;cuando faltan siete días para el paro nacional, al que se unieron estudiantes y diversos sectores para protestar por muchas cosas y por nada, se conoce de sujetos que llegan de España, Chile y Venezuela para apoyar a los organizadores de este paro.;6;34;46
BluRadio Colombia;BluRadioCo; Iglesia católica apoya el paro nacional del 21 de noviembre ;51;59;209
Mario Ivan Carratu Molina...;MiCarratu;"ARPONAZO...
PARO NACIONAL INDEFINIDO...En sus casas, oficinas u otros sitios... cobiertos y protegidos... basta de mártires llevados al choque sin organizacion... 

https://www.pscp.tv/docedelpatibulo/1kvJpRjrjlVKE …pic.twitter.com/1fwqti52hF";15;89;108
Alirio Uribe Muñoz;AlirioUribeMuoz;"La señorita Colombia, Aterciopelados y otros artistas que se unen al paro nacional 2019.
";5;42;83
CATERINA VALENTINO;CATERINAV;#15Nov Enfermeras venezolanas inician paro nacional por 48 horas.;;31;29
AquinoTicias;AquinoTicias1;"""Holocausto Norte, hinchada del Once Caldas, consciente de nuestro rol social y popular, respaldamos y apoyamos el PARO NACIONAL del 21 de noviembre. Ahora el aguante se viene de la tribuna a las calles, porque como pueblo, merecemos mucho más!""

¿Habían leído algo más bello? https://twitter.com/Andres11Quiceno/status/1195145540033556487 …";3;39;107
Radio Sago;RadioSago;AHORA: En #Osorno, fue tomada la sede de Instituto Inacap. De acuerdo con estudiantes de la casa de estudios superiores, a pesar de que votación de alumnos no apoyó plegarse a paro nacional, alumnos que querían movilizarse decidieron ocupar el recinto. #InformandoPrimeropic.twitter.com/x5rojTAYTS;22;50;41
Maléfica Perla Del Pacífico;Maleffik;"Caray! apurado Litardo??? 
Esa premura, esa diligencia era que tengas en días del #ParoNacional 

@cesarlitardo @AsambleaEcuadorhttps://twitter.com/lahistoriaec/status/1195040377906089985 …";4;17;35
ACI Prensa;aciprensa;Ante el #ParoNacional convocado para el 21 de noviembre, la Conferencia Episcopal de Colombia invitó a la paz y la cultura del encuentro. http://bit.ly/2qdU51t ;2;32;91
Soy Omi;OmiCaricaturas;"Yo marcho el #21N porque lo dice el Ministro de Defensa y la Vicepresidenta. 

#ParoNacional #Paro21Noviembre #ParoNacional21Novpic.twitter.com/yKyBNnzRwV";1;27;37
Radio La Calle;radiolacalle;"""El punto de quiebre en la cobertura del paro nacional se evidenció cuando la gente decidió informarse en los medios digitales y no en los medios tradicionales"" @EdisonPerezz 
Ciclo de reflexión colectiva sobre la protesta popular más importante del siglo XXI
#VolveraOctubrepic.twitter.com/Rt5rh6dwl1";3;33;45
Paro Nacional Yaaaa Art.350;Paro350;que caiga la tirania! Tenemos derecho a ser libres!;;3;
Paro Nacional Yaaaa Art.350;Paro350;"Nos han quitado tanto, que hasta el miedo nos lo quitaron. VAMOS CARAJO, sin miedo, todos a la calle hasta sacar a la dictadura de narcos, criminales y asesinos.
#16NHastaQueCaigaLaTiraniapic.twitter.com/2xhuhRl7WO";;4;
laura Camila Rangel Reyes;kmilarangel;"Porque estamos cansados de la guerra! 
#paro21denoviembre #ParoNacional #ParoNacional21Npic.twitter.com/lvpx0z9Mt6";;;1
El País Cali;elpaiscali;"""No vamos a tomar ninguna medida"": rector de Univalle no cancelará clases por paro nacional ";1;;5
Ricardo Silva Romero;RSilvaRomero;Iglesia respalda el paro nacional del 21 de noviembre ;3;24;37
bruno sgarzini;brunosgarzini;5-Promover la idea de una amenaza externa de las FARC, Venezuela y Cuba para poner en marcha una doctrina de enemigo interno, similar a lo que hizo Ecuador con el paro nacional bajo la llamada “brisa bolivariana”. Es de manual también esto. pic.twitter.com/Exob22rQJ6;1;27;23
Revista Hekatombe  ??;Hekatombe_;"Dicen en las manifestaciones ""a parar para avanzar, viva el paro nacional""";;15;21
Manuel Sarmiento  ????  ??;mjsarmientoa;"Desde muy temprano en la central de la ETB San Carlos. Faltan 7 días para el Paro Nacional del #21N, por eso sigo recorriendo la ciudad para explicar las razones e invitar a los trabajadores.

¡Colombia está despertando!

#ParoNacional21Novpic.twitter.com/BcxByyGltp";1;11;28
Alejandra Oraa;alejandraoraa;"Colombia se prepara para un paro nacional este 21 de noviembre, convocatoria que ha generado polémica

¿Cómo ves a Colombia en comparación con otros países de la región?  Nuestro tema de conversación hoy en las redes sociales: #CaféColombia

Esperamos sus comentarios y opiniones.";35;18;61
Jaguar de Bosawas;JBosawas;"Buenos días mis Jaguares! El Moclin claramente le dice a #Nicaragua q no negociará! El solo entiende violencia y represión! #Bolivia nos enseñó como escapar y Daniel se muere del miedo! Si, al #ParoNacional Indefinido! #OrtegaMurillo tienen q caer!
@reacnicpic.twitter.com/1doFTXBHnU";8;18;45
AquinoTicias;AquinoTicias1;"La Barra Popular y Social del Deportivo Pasto, ""La banda tricolor"", también se suma al Paro Nacional.

El futbol une, la defensa de la vida una. Vamos juntos por la vida digna. VenSeremos 

#paro21denoviembrepic.twitter.com/92dEgcaNnN";3;12;54
Jota;GreenJT2;— Por motivo del paro nacional cambia la fecha del final... para el día anterior.;1;5;46
red+ noticias;RedMasNoticias;"Iglesia llama a los colombianos a movilizarse de forma pacífica el 21 de noviembre en el ParoNacional. 

“El cansancio y el descontento, revelan problemas graves que no hemos logrado superar…”, reflexionan en un comunicado.

@GiovanniCelisSpic.twitter.com/8uR0Yr317Y";9;22;24
Gordo Pitonizo;azetaene;Si la piedra de tope para el acuerdo cocinado es la UDI corresponde un paro nacional indefinido, pero no para que la UDI afloje sino para que se vayan todos.;;9;23
DONNA...;GloriaAgudeloCa;‘’Si quieren algo similar a Venezuela, pues váyanse’’: Carlos Antonio Vélez sobre el próximo Paro Nacional y las manifestaciones violentas https://losinfiltrados.co/2019/11/13/si-quieren-algo-similar-a-venezuela-pues-vayanse-carlos-antonio-velez-sobre-el-proximo-paro-nacional-y-las-manifestaciones-violentas/ …;1;12;23
fecode;fecode;El presidente de Fecode, Nelson Alarcón, el presidente de la CUT, Diógenes Orjuela, y Jennifer Pedraza, líder del movimiento estudiantil, esta noche en Semana en Vivo a las 8 pm fundamentando las razones del Paro Nacional del 21 de noviembre. Invitación a conectarse. https://twitter.com/Semanaenvivo/status/1195106802884591617 …;5;31;36
Paola Castaño;pcastano;¿Y Mauricio Palo de Agua ya se pronunció sobre el paro nacional?;12;4;65
CUT Colombia;cutcolombia;"¡HOY! 
Gran volanteo nacional
En todo el país acompaña a repartir el volante del #ParoNacional desde las 5pm

#ElParoVa
#LeeloYPasalo21N
pic.twitter.com/1nIGYgMnHT";;14;17
Juan Carlos Arango S;jcarangosa;Pese a la represión en la Universidad Militar, los estudiantes alistan su participación en el PARO NACIONAL!! pic.twitter.com/9lCqFZPACN;3;31;73
Jonathan Torrenegra;JonTorrenegra;¡¡¡NO TENEMOS MIEDO!!!!;;;
Ermitaño  ??;EdenBlues55;LA IGLESIA CATOLICA DA BENDICIÓN A LA MARCHA ;1;8;15
Unión Masiva Nicaragua;UnionMasivaNic;"PARO NACIONAL INDEFINIDO ¡YA! 
UNIDOS PODEMOS LOGRARLO, SUMATE AL PARO A PARTIR DEL 1ERO DE DICIEMBRE.
ES MEJOR AGUANTAR UN POCO, A PASAR UNA VIDA BAJO REPRESIÓN (1/1)

#ParoNacional #LibertadParaLosPresosPoliticos #SOSNICARAGUA
@BLANDINO_SA @CafeconVozNi @100noticiasnipic.twitter.com/rzg8WPhtZ6";2;20;24
La Pataletuda ?;LaPataletuda;Ahora hasta la iglesia apoya el paro nacional. @UniJaveriana para cuándo el comunicado? O ya van a salir del closet y van a confesar que no le sirven a la iglesia sino al Estado?;1;5;30
Casandro Martell;CasandroMartell;"Todos preparados para los puntos de encuentro  del Gran Paro Nacional del 21, una protesta que se desarrollará a nivel mundial.
¡ACCIÓN, REIVINDICACIÓN Y CAMBIO!";;9;33
Café CNN;cafecnn;"Colombia se prepara para un paro nacional este 21 de noviembre, convocatoria que ha generado polémica, ¿cómo ves a Colombia en comparación con otros países de la región? 
Nuestro tema de conversacion hoy en las redes sociales:
#caféColombia
Esperamos sus comentarios y opiniones.";38;15;45
Euquico;Eclides3;"LA IGLESIA CATÓLICA COLOMBIANA SE UNE AL PARO.
Monseñor Óscar Urbina, a nombre de la Conferencia Episcopal de Colombia, manifestó su total apoyo al Paro Nacional del 21 de Noviembre. pic.twitter.com/GnFIqpAu7R";1;11;24
Rodrigo Galarza;Rohgal;Mientras algunos convocan a un paro nacional la economia crece al 3,3%...;19;9;43
Andrea Arteaga;AndreaArtehaga1;"La Banda Tricolor nos acompañará el 21 de Noviembre en el Paro Nacional saliendo desde la querida Udenar. 
La Banda del Pasto prende la fiesta en las calles!  pic.twitter.com/eAq1CAKqZN";;8;49
Pedro P Mejía S;ppablomejia;"Iglesia respalda el paro nacional del 21 de noviembre. 
A este ritmo solo falta que se unan al paro las Águilas Negras, el Esmad y el Ejército.
https://noticias.canal1.com.co/nacional/iglesia-respalda-el-paro-nacional-del-21-de-noviembre/ … vía @Canal1Colombia";4;24;29
Barricada Antifa 1927;Antifa_1927;"¡Vamos con toda al paro nacional! Por que este es el equipo del pueblo colombiano, vamos por la emancipación, con aguante y a plantar nuestra voz de protesta, ¡de las tribunas a las calles todos y todas!
¡Somos barricada 1927 antifa, somos colectivo y vamos con toda al paro!  pic.twitter.com/AQQdetUQQm";;7;29
Trochando en la  Ciudad;TrochandoCiudad;Movimiento Nacional Carcelario se suma al paro nacional, que se llevará acabo en todo el territorio nacional en contra del #PaquetazoDeDuque, y ante la grave crisis social y  humanitaria que están viviendo las cárceles del país.pic.twitter.com/2anAHOL3Dj;1;11;18
Voces;Voces_Ecu;"La historia de Marco Oto, un joven, artista y amante de los animales. Falleció en manos de la Policía durante el #ParoNacional. A pesar de su discapacidad fue tratado como vándalo, terrorista y zángano. Aquí su escalofriante video.
 ";;43;36
David Mora Polo ??;DavidMora_N;"Razones sobran viejo, nos vemos en el PARO NACIONAL. .

Mi #Opinión sobre algunas de las razones para salir al paro contra el #PaquetazoDeDuque.

Que el gobierno Duque no cargue el desbalance externo y fiscal sobre los sectores medios y populares del país.https://periodicodelmeta.com/razones-sobran-viejo-nos-vemos-en-el-paro-nacional/ …";;13;12
CUT Colombia;cutcolombia;"""Las reformas del gobierno Duque golpearán con más fuerza a las mujeres, vamos al gran paro nacional""
#LéeloYPásalo21Npic.twitter.com/7b8ZNJqdOM";;16;19
Cacerolo;cacerolazo22N;Barón Rojo Sur apoya el paro nacional ;;14;61
Jaime Alberto Angulo;anguloj;Alerta Colombianos, los están invitando a marchar y a un paro nacional el 21 de Noviembre amparados en MENTIRAS...Evite ser manipulado y utilizado para generar caos y desorden. pic.twitter.com/lU3tFAZVNt;;;
Daniela;dfsanabria;Diga que se va a sumar al paro nacional y se viene pa mi casa y se lo paro.;9;61;484
Teatro Matacandelas;matacandelas;"Matacandelas se une al paro nacional. 
#TodosAlParo #21deNoviembreParoNacionalpic.twitter.com/KdqsuuKdvb";1;83;215
070;cerosetenta;"Cerosetenta preparó este manual de autocuidado para aquellos que van a salir a las calles. Para que se protejan y conozcan sus derechos. #21N Paro nacional.

https://cerosetenta.uniandes.edu.co/manual-contra-esmad/ …";;21;21
Wanna_Cry_Virus;AnoniNic;"Si no llaman al Paro Nacional Indefinido.

@AlianzaCivicaNi @UnidadNic dejen el show y dejen de poner en peligro más vidas por sus teatros, ayer se que estaban empujando a eso por lo visto quedó claro, ya que yo no soy igual a ustedes, a mi me desaparecen a ustedes los sacan!";;14;28
Feliciano Valencia  ??;FelicianoValen;Iglesia respalda el paro nacional del 21 de noviembre ;1;15;24
Casandro Martell;CasandroMartell;"Los datos del 3.3% de crecimiento es un ENGAÑA BOBOS. Las utilidades de este aumento se irán en un 70% para los Bancos de Sarmiento, mientras que el endeudamiento del país casi llega al 43%. Entran muy pocos recursos y Duque empeña el país a niveles históricos.
¡PARO NACIONAL!";;20;22
Educación Primero;docentesactivos;Paro Nacional de educadores se cumplió en 92% ;;16;18
